#
# Generated by G. Mace, Sun Mar 11 17:16:51 2012
#
#=========================================
# Wavelength  Flux Density         Error
#(vacuum um)  (norm f_lam)  (norm f_lam)
#=========================================
   0.6484804    2.8068E-01    2.1685E-01
   0.6506152    1.4792E-01    1.9222E-01
   0.6527430    3.6774E-01    1.9404E-01
   0.6548644    2.5340E-01    1.7472E-01
   0.6569805    3.0269E-01    1.5932E-01
   0.6590918    6.1701E-01    1.3666E-01
   0.6611993    2.1317E-01    1.3635E-01
   0.6633039    7.5307E-02    1.3737E-01
   0.6654060    5.5992E-01    1.3518E-01
   0.6675066    5.3492E-02    1.3568E-01
   0.6696064    1.8803E-01    1.3206E-01
   0.6717061    2.6928E-01    1.2382E-01
   0.6738065    1.9824E-01    1.2102E-01
   0.6759080    2.5285E-01    1.1537E-01
   0.6780115    7.0149E-02    1.1451E-01
   0.6801176    1.1050E-01    1.0969E-01
   0.6822270    8.1505E-02    1.0980E-01
   0.6843401    7.3537E-02    1.0496E-01
   0.6864578    1.8673E-01    1.0771E-01
   0.6885804    2.4512E-01    9.9081E-02
   0.6907087    2.4182E-01    9.6788E-02
   0.6928432    1.7538E-01    9.0195E-02
   0.6949844    1.8468E-01    8.6776E-02
   0.6971328    1.4031E-01    8.2228E-02
   0.6992891    7.3591E-02    8.1204E-02
   0.7014536    1.5417E-01    7.5241E-02
   0.7036269    1.1957E-01    7.3670E-02
   0.7058095    1.7806E-01    6.8809E-02
   0.7080018    1.2036E-01    6.6955E-02
   0.7102043    9.1956E-02    6.3476E-02
   0.7124174    1.0773E-01    6.3472E-02
   0.7146416    1.3070E-01    6.0104E-02
   0.7168772    7.5939E-02    6.1424E-02
   0.7191247    1.7193E-01    5.8678E-02
   0.7213844    7.0377E-02    5.7079E-02
   0.7236567    1.1474E-01    5.4140E-02
   0.7259421    9.3797E-02    5.3074E-02
   0.7282408    1.1322E-01    5.0123E-02
   0.7305532    1.7722E-01    5.1965E-02
   0.7328796    1.3334E-01    4.7298E-02
   0.7352204    1.4657E-02    4.6979E-02
   0.7375758    2.4699E-02    4.4482E-02
   0.7399461    5.0417E-02    4.3866E-02
   0.7423317    6.1645E-02    4.0910E-02
   0.7447328    7.3946E-02    4.1806E-02
   0.7471496    7.4438E-02    3.7254E-02
   0.7495825    3.3971E-02    3.8995E-02
   0.7520316    5.2939E-02    3.5576E-02
   0.7544973    2.5786E-02    3.6701E-02
   0.7569796    7.1966E-02    3.7955E-02
   0.7594789    4.0793E-02    4.4144E-02
   0.7619954   -6.9932E-03    4.5806E-02
   0.7645291    6.9896E-03    4.3933E-02
   0.7670804    4.7227E-02    3.6210E-02
   0.7696494    2.4952E-02    3.3598E-02
   0.7722362    1.9806E-04    3.0717E-02
   0.7748410    7.0206E-03    3.1319E-02
   0.7774640    6.6963E-02    2.9549E-02
   0.7801054    5.8289E-02    2.9965E-02
   0.7827651    1.7927E-03    2.9023E-02
   0.7854434    6.0869E-02    2.8643E-02
   0.7881403    2.8880E-02    2.8096E-02
   0.7908560    1.1133E-01    2.8761E-02
   0.7935906    9.2446E-02    2.7407E-02
   0.7963442    6.5970E-02    2.7658E-02
   0.7991167    1.7951E-02    2.6654E-02
   0.8019084    6.3543E-02    2.9118E-02
   0.8047193    7.1159E-02    2.5718E-02
   0.8075493    4.2792E-02    2.5823E-02
   0.8103987    9.4486E-02    2.5343E-02
   0.8132674    2.4970E-02    2.6641E-02
   0.8161554    1.3845E-01    2.6216E-02
   0.8190629    5.9589E-02    2.6194E-02
   0.8219898    1.0579E-01    2.4359E-02
   0.8249360    4.0171E-02    2.4023E-02
   0.8279018    1.7523E-02    2.3096E-02
   0.8308870    2.7831E-02    2.3459E-02
   0.8338916    3.2518E-02    2.2733E-02
   0.8369156    8.4552E-02    2.2513E-02
   0.8399590    1.8128E-02    2.1834E-02
   0.8430219   -3.4709E-02    2.1896E-02
   0.8461041    4.1880E-02    2.0625E-02
   0.8492056    1.2077E-02    2.0669E-02
   0.8523264    2.2683E-02    1.9418E-02
   0.8554664    5.7477E-02    1.9134E-02
   0.8586257    4.3248E-02    1.8683E-02
   0.8618041    2.8003E-02    1.9310E-02
   0.8650015    3.6861E-02    1.8470E-02
   0.8682179    3.0865E-02    1.8898E-02
   0.8714533    2.6824E-02    1.8749E-02
   0.8747076    4.7057E-02    1.8799E-02
   0.8779806    6.5225E-02    1.8533E-02
   0.8812723    1.5606E-02    1.9125E-02
   0.8845826    6.8744E-02    1.8137E-02
   0.8879115    4.3874E-02    1.8201E-02
   0.8912587    5.5161E-02    1.7706E-02
   0.8946242    4.8440E-02    1.8360E-02
   0.8980080    8.5189E-02    1.7248E-02
   0.9014098    4.3357E-02    1.6882E-02
   0.9048296    3.7075E-02    1.6115E-02
   0.9082673    5.6113E-02    1.6068E-02
   0.9117226    4.4484E-02    1.5411E-02
   0.9151956    8.1167E-02    1.5591E-02
   0.9186860    8.7085E-02    1.4935E-02
   0.9221938    5.1074E-02    1.4780E-02
   0.9257188    7.0287E-02    1.5130E-02
   0.9292608    2.6100E-02    1.6474E-02
   0.9328197    3.4401E-02    1.7614E-02
   0.9363955    4.7382E-02    1.8790E-02
   0.9399878    1.8818E-02    1.7890E-02
   0.9435965    4.0694E-02    1.7658E-02
   0.9472216    4.2378E-02    1.7033E-02
   0.9508629    4.5837E-02    1.6467E-02
   0.9545202    1.0294E-01    1.5089E-02
   0.9581932    7.4926E-02    1.4103E-02
   0.9618819    7.1256E-02    1.3462E-02
   0.9655861    8.0202E-02    1.3247E-02
   0.9693056    7.0941E-02    1.2698E-02
   0.9730403    9.6824E-02    1.2831E-02
   0.9767900    8.0941E-02    1.2551E-02
   0.9805544    9.8705E-02    1.2570E-02
   0.9843334    1.4107E-01    1.2185E-02
   0.9881269    1.2875E-01    1.2366E-02
   0.9919347    1.4863E-01    1.2517E-02
   0.9957564    1.4951E-01    1.2891E-02
   0.9995921    1.5970E-01    1.2784E-02
   1.0034415    2.0590E-01    1.2041E-02
   1.0073043    2.1395E-01    1.1666E-02
   1.0111805    2.2456E-01    1.1840E-02
   1.0150697    2.5929E-01    1.2068E-02
   1.0189720    2.8445E-01    1.2037E-02
   1.0228870    3.2759E-01    1.2391E-02
   1.0268145    3.5331E-01    1.2723E-02
   1.0307542    3.9234E-01    1.2165E-02
   1.0347062    4.2059E-01    1.2647E-02
   1.0386701    4.7605E-01    1.2099E-02
   1.0426457    5.1118E-01    1.2185E-02
   1.0466329    5.5036E-01    1.1528E-02
   1.0506314    5.8755E-01    1.0763E-02
   1.0546410    6.1150E-01    9.9867E-03
   1.0586616    6.4194E-01    9.6239E-03
   1.0626929    6.6303E-01    9.5069E-03
   1.0667348    6.5712E-01    1.0117E-02
   1.0707870    7.1363E-01    1.0585E-02
   1.0748491    7.2564E-01    1.0907E-02
   1.0789213    7.1868E-01    1.2194E-02
   1.0830033    6.5348E-01    1.1605E-02
   1.0870947    5.7085E-01    1.1704E-02
   1.0911953    4.3238E-01    1.1439E-02
   1.0953051    3.0807E-01    1.0885E-02
   1.0994238    1.9508E-01    1.0685E-02
   1.1035511    1.4983E-01    1.0012E-02
   1.1076870    1.0599E-01    9.1572E-03
   1.1118311    6.8183E-02    8.7416E-03
   1.1159832    4.9466E-02    8.6447E-03
   1.1201433    2.2918E-02    8.5181E-03
   1.1243110    2.4313E-02    9.4295E-03
   1.1284860    3.7736E-02    1.0460E-02
   1.1326685    2.3996E-02    1.0562E-02
   1.1368579    1.2169E-02    1.1009E-02
   1.1410542    6.6583E-04    1.1287E-02
   1.1452571    1.7738E-02    1.0623E-02
   1.1494665    5.3204E-03    1.1188E-02
   1.1536821   -5.6715E-03    1.0441E-02
   1.1579037    1.5126E-02    9.8721E-03
   1.1621312    1.4921E-02    9.2797E-03
   1.1663643    2.0791E-02    8.3472E-03
   1.1706029    8.9481E-03    7.3600E-03
   1.1748468    1.9706E-02    6.7662E-03
   1.1790956    2.3227E-02    6.3499E-03
   1.1833493    3.6356E-02    6.0600E-03
   1.1876076    5.0858E-02    5.8632E-03
   1.1918706    7.6734E-02    6.4919E-03
   1.1961377    9.1989E-02    7.4920E-03
   1.2004089    1.3900E-01    8.0772E-03
   1.2046840    1.6545E-01    8.5848E-03
   1.2089628    2.0210E-01    9.1072E-03
   1.2132452    2.7898E-01    8.6874E-03
   1.2175308    3.1994E-01    9.1624E-03
   1.2218196    3.7962E-01    9.0354E-03
   1.2261114    4.2340E-01    8.8979E-03
   1.2304060    4.9241E-01    8.8635E-03
   1.2347032    5.8665E-01    8.6115E-03
   1.2390028    6.5566E-01    7.7737E-03
   1.2433046    7.2422E-01    7.4123E-03
   1.2476085    8.0108E-01    7.1781E-03
   1.2519143    8.9855E-01    7.1853E-03
   1.2562218    9.3388E-01    7.3822E-03
   1.2605308    9.9741E-01    8.6034E-03
   1.2648413    1.0209E+00    9.8946E-03
   1.2691529    1.0026E+00    1.0101E-02
   1.2734656    9.7001E-01    1.0821E-02
   1.2777791    9.2385E-01    1.0239E-02
   1.2820934    8.1449E-01    9.7180E-03
   1.2864082    7.1728E-01    9.5665E-03
   1.2907233    6.0930E-01    8.9164E-03
   1.2950387    5.6870E-01    9.0526E-03
   1.2993542    4.5229E-01    8.7055E-03
   1.3036696    3.7035E-01    8.5989E-03
   1.3079846    3.1376E-01    8.5774E-03
   1.3122994    2.5061E-01    8.1823E-03
   1.3166136    2.1231E-01    7.7065E-03
   1.3209270    1.6639E-01    7.0326E-03
   1.3252397    1.2884E-01    6.4884E-03
   1.3295512    8.1674E-02    6.0207E-03
   1.3338617    4.3269E-02    5.5354E-03
   1.3381710    2.0477E-02    5.5020E-03
   1.3424788    6.4909E-03    5.6034E-03
   1.3467851    2.6982E-03    6.7228E-03
   1.3510896    3.3655E-03    8.2189E-03
   1.3553923    1.7412E-03    1.1875E-02
   1.3596932   -3.2579E-03    1.8078E-02
   1.3639919    4.8804E-02    2.2889E-02
   1.3682883    4.8763E-02    2.1201E-02
   1.3725824   -4.1131E-03    1.8064E-02
   1.3768741    1.4393E-02    1.7200E-02
   1.3811632    7.5620E-03    1.7428E-02
   1.3854496   -2.0287E-02    1.6993E-02
   1.3897332    4.3069E-04    1.6259E-02
   1.3940138    5.2979E-05    1.5303E-02
   1.3982913    8.2379E-03    1.7049E-02
   1.4025657   -1.1403E-02    1.7200E-02
   1.4068369   -4.0319E-02    1.6866E-02
   1.4111046    1.3173E-02    1.5691E-02
   1.4153688   -2.0425E-03    1.4623E-02
   1.4196293   -9.1753E-03    1.2460E-02
   1.4238863    1.0028E-02    1.0616E-02
   1.4281393    9.1869E-03    9.2279E-03
   1.4323885   -9.3182E-04    9.9730E-03
   1.4366337    9.2667E-03    9.7019E-03
   1.4408748   -1.1358E-02    9.1788E-03
   1.4451118    2.2584E-02    9.2316E-03
   1.4493443    2.0776E-02    1.0225E-02
   1.4535726    3.2133E-02    1.0973E-02
   1.4577963    3.2560E-02    1.1282E-02
   1.4620156    2.7597E-02    1.0280E-02
   1.4662303    6.3095E-02    1.0340E-02
   1.4704401    3.3749E-02    9.4506E-03
   1.4746453    2.0165E-02    9.8900E-03
   1.4788456    2.8203E-02    9.7755E-03
   1.4830409    2.8124E-02    1.0488E-02
   1.4872313    3.9842E-02    1.0327E-02
   1.4914165    4.0772E-02    9.0673E-03
   1.4955965    6.0738E-02    7.8010E-03
   1.4997714    5.1700E-02    9.6099E-03
   1.5039409    5.8030E-02    1.1371E-02
   1.5081052    5.6769E-02    1.1455E-02
   1.5122640    7.1478E-02    1.0604E-02
   1.5164173    6.9937E-02    8.4704E-03
   1.5205652    1.1033E-01    9.1927E-03
   1.5247073    1.3572E-01    1.0010E-02
   1.5288439    1.4479E-01    1.1274E-02
   1.5329747    1.9390E-01    1.0489E-02
   1.5370998    2.0934E-01    1.0329E-02
   1.5412192    2.2168E-01    9.5382E-03
   1.5453327    2.6140E-01    8.5795E-03
   1.5494403    2.7626E-01    8.8039E-03
   1.5535419    3.1107E-01    8.3506E-03
   1.5576376    3.5032E-01    8.9661E-03
   1.5617273    3.8452E-01    9.5402E-03
   1.5658109    4.3834E-01    9.1277E-03
   1.5698885    4.6093E-01    8.3874E-03
   1.5739598    4.9946E-01    7.3609E-03
   1.5780250    5.4300E-01    9.7742E-03
   1.5820841    5.4448E-01    1.1593E-02
   1.5861368    5.3121E-01    1.1488E-02
   1.5901834    4.8522E-01    1.0552E-02
   1.5942236    4.5854E-01    7.8065E-03
   1.5982575    3.8942E-01    8.6339E-03
   1.6022853    2.8404E-01    9.9014E-03
   1.6063064    1.9826E-01    1.0703E-02
   1.6103214    1.2430E-01    1.0990E-02
   1.6143298    7.7342E-02    9.8443E-03
   1.6183319    7.4840E-02    1.0244E-02
   1.6223276    5.0394E-02    8.9399E-03
   1.6263167    4.6081E-02    8.1906E-03
   1.6302994    2.4664E-02    8.0626E-03
   1.6342757    2.3991E-02    7.3957E-03
   1.6382455    2.3752E-02    7.7114E-03
   1.6422087    3.5396E-02    8.0538E-03
   1.6461654    3.2709E-02    8.4062E-03
   1.6501156    4.2010E-02    8.4236E-03
